frequency_THz,Absoprtion,Parameter_Value,Parameter_g,Parameter_r,Parameter_md,Parameter_a
5.006,0.48469346,1.75,1,0,0,0
5.0105,0.46874834,1.75,1,0,0,0
5.015,0.4534409,1.75,1,0,0,0
5.0195,0.43875733,1.75,1,0,0,0
5.024,0.42468164,1.75,1,0,0,0
5.0285,0.41119622,1.75,1,0,0,0
5.033,0.39828227,1.75,1,0,0,0
5.0375,0.38592017,1.75,1,0,0,0
5.042,0.37408985,1.75,1,0,0,0
5.04425,0.36836775,1.75,1,0,0,0
5.0465,0.36277097,1.75,1,0,0,0
5.051,0.35194323,1.75,1,0,0,0
5.0555,0.34158645,1.75,1,0,0,0
5.06,0.33168078,1.75,1,0,0,0
5.0645,0.32220677,1.75,1,0,0,0
5.069,0.31314545,1.75,1,0,0,0
5.0735,0.30447844,1.75,1,0,0,0
5.078,0.29618793,1.75,1,0,0,0
5.0825,0.28825678,1.75,1,0,0,0
5.087,0.28066848,1.75,1,0,0,0
5.0915,0.27340722,1.75,1,0,0,0
5.096,0.26645786,1.75,1,0,0,0
5.099375,0.2614418,1.75,1,0,0,0
5.1005,0.25980594,1.75,1,0,0,0
5.105,0.25343765,1.75,1,0,0,0
5.1095,0.24733983,1.75,1,0,0,0
5.114,0.24149997,1.75,1,0,0,0
5.1185,0.23590615,1.75,1,0,0,0
5.123,0.23054707,1.75,1,0,0,0
5.1275,0.22541196,1.75,1,0,0,0
5.132,0.22049062,1.75,1,0,0,0
5.1365,0.21577336,1.75,1,0,0,0
5.141,0.21125099,1.75,1,0,0,0
5.1455,0.20691479,1.75,1,0,0,0
5.15,0.20275651,1.75,1,0,0,0
5.1545,0.19876829,1.75,1,0,0,0
5.159,0.19494272,1.75,1,0,0,0
5.1635,0.19127276,1.75,1,0,0,0
5.168,0.18775173,1.75,1,0,0,0
5.1725,0.18437332,1.75,1,0,0,0
5.177,0.18113154,1.75,1,0,0,0
5.1815,0.17802071,1.75,1,0,0,0
5.186,0.17503545,1.75,1,0,0,0
5.1905,0.17217067,1.75,1,0,0,0
5.195,0.16942154,1.75,1,0,0,0
5.1995,0.16678349,1.75,1,0,0,0
5.204,0.16425219,1.75,1,0,0,0
5.2085,0.16182353,1.75,1,0,0,0
5.213,0.15949363,1.75,1,0,0,0
5.2175,0.1572588,1.75,1,0,0,0
5.222,0.15511556,1.75,1,0,0,0
5.2265,0.1530606,1.75,1,0,0,0
5.231,0.1510908,1.75,1,0,0,0
5.2355,0.1492032,1.75,1,0,0,0
5.24,0.14739501,1.75,1,0,0,0
5.2445,0.14566358,1.75,1,0,0,0
5.249,0.14400644,1.75,1,0,0,0
5.2535,0.1424212,1.75,1,0,0,0
5.258,0.14090563,1.75,1,0,0,0
5.2625,0.13945752,1.75,1,0,0,0
5.26475,0.13875806,1.75,1,0,0,0
5.267,0.13807464,1.75,1,0,0,0
5.2715,0.13675485,1.75,1,0,0,0
5.276,0.13549631,1.75,1,0,0,0
5.2805,0.13429757,1.75,1,0,0,0
5.285,0.13315727,1.75,1,0,0,0
5.2895,0.13207402,1.75,1,0,0,0
5.294,0.13104641,1.75,1,0,0,0
5.2985,0.13007308,1.75,1,0,0,0
5.303,0.12915276,1.75,1,0,0,0
5.3075,0.12828427,1.75,1,0,0,0
5.312,0.1274665,1.75,1,0,0,0
5.3165,0.12669842,1.75,1,0,0,0
5.319875,0.1261544,1.75,1,0,0,0
5.321,0.12597909,1.75,1,0,0,0
5.3255,0.12530761,1.75,1,0,0,0
5.33,0.12468318,1.75,1,0,0,0
5.3345,0.12410504,1.75,1,0,0,0
5.339,0.12357251,1.75,1,0,0,0
5.3435,0.12308497,1.75,1,0,0,0
5.348,0.12264186,1.75,1,0,0,0
5.3525,0.12224266,1.75,1,0,0,0
5.357,0.12188693,1.75,1,0,0,0
5.3615,0.12157427,1.75,1,0,0,0
5.366,0.12130436,1.75,1,0,0,0
5.3705,0.12107691,1.75,1,0,0,0
5.375,0.12089168,1.75,1,0,0,0
5.3795,0.12074851,1.75,1,0,0,0
5.384,0.12064726,1.75,1,0,0,0
5.3885,0.12058788,1.75,1,0,0,0
5.393,0.12057033,1.75,1,0,0,0
5.3975,0.12059467,1.75,1,0,0,0
5.402,0.12066096,1.75,1,0,0,0
5.4065,0.12076935,1.75,1,0,0,0
5.411,0.12092004,1.75,1,0,0,0
5.4155,0.12111327,1.75,1,0,0,0
5.42,0.12134934,1.75,1,0,0,0
5.4245,0.1216286,1.75,1,0,0,0
5.429,0.12195147,1.75,1,0,0,0
5.4335,0.12231843,1.75,1,0,0,0
5.438,0.12272999,1.75,1,0,0,0
5.4425,0.12318674,1.75,1,0,0,0
5.447,0.12368935,1.75,1,0,0,0
5.4515,0.12423853,1.75,1,0,0,0
5.456,0.12483506,1.75,1,0,0,0
5.4605,0.12547981,1.75,1,0,0,0
5.465,0.12617371,1.75,1,0,0,0
